frame,lm_0_x,lm_0_y,lm_0_z,lm_0_visibility,lm_1_x,lm_1_y,lm_1_z,lm_1_visibility,lm_2_x,lm_2_y,lm_2_z,lm_2_visibility,lm_3_x,lm_3_y,lm_3_z,lm_3_visibility,lm_4_x,lm_4_y,lm_4_z,lm_4_visibility,lm_5_x,lm_5_y,lm_5_z,lm_5_visibility,lm_6_x,lm_6_y,lm_6_z,lm_6_visibility,lm_7_x,lm_7_y,lm_7_z,lm_7_visibility,lm_8_x,lm_8_y,lm_8_z,lm_8_visibility,lm_9_x,lm_9_y,lm_9_z,lm_9_visibility,lm_10_x,lm_10_y,lm_10_z,lm_10_visibility,lm_11_x,lm_11_y,lm_11_z,lm_11_visibility,lm_12_x,lm_12_y,lm_12_z,lm_12_visibility,lm_13_x,lm_13_y,lm_13_z,lm_13_visibility,lm_14_x,lm_14_y,lm_14_z,lm_14_visibility,lm_15_x,lm_15_y,lm_15_z,lm_15_visibility,lm_16_x,lm_16_y,lm_16_z,lm_16_visibility,lm_17_x,lm_17_y,lm_17_z,lm_17_visibility,lm_18_x,lm_18_y,lm_18_z,lm_18_visibility,lm_19_x,lm_19_y,lm_19_z,lm_19_visibility,lm_20_x,lm_20_y,lm_20_z,lm_20_visibility,lm_21_x,lm_21_y,lm_21_z,lm_21_visibility,lm_22_x,lm_22_y,lm_22_z,lm_22_visibility,lm_23_x,lm_23_y,lm_23_z,lm_23_visibility,lm_24_x,lm_24_y,lm_24_z,lm_24_visibility,lm_25_x,lm_25_y,lm_25_z,lm_25_visibility,lm_26_x,lm_26_y,lm_26_z,lm_26_visibility,lm_27_x,lm_27_y,lm_27_z,lm_27_visibility,lm_28_x,lm_28_y,lm_28_z,lm_28_visibility,lm_29_x,lm_29_y,lm_29_z,lm_29_visibility,lm_30_x,lm_30_y,lm_30_z,lm_30_visibility,lm_31_x,lm_31_y,lm_31_z,lm_31_visibility,lm_32_x,lm_32_y,lm_32_z,lm_32_visibility
1,0.5664489269256592,0.32184454798698425,-0.2164653241634369,0.9997929930686951,0.5778195858001709,0.30517899990081787,-0.2705334424972534,0.9996050000190735,0.585137665271759,0.30432066321372986,-0.27059289813041687,0.9995997548103333,0.5931751728057861,0.30307385325431824,-0.2705242335796356,0.9996908903121948,0.5687581300735474,0.3061164617538452,-0.1905449479818344,0.9995361566543579,0.5686866641044617,0.30602750182151794,-0.19064106047153473,0.9994319081306458,0.5687072277069092,0.3057006001472473,-0.19079063832759857,0.9995636343955994,0.6404493451118469,0.30182620882987976,-0.39067012071609497,0.9997484087944031,0.6147869229316711,0.3042030334472656,-0.03195648267865181,0.9991596937179565,0.5895845293998718,0.33463555574417114,-0.2497837394475937,0.9998559951782227,0.5767868757247925,0.3353053331375122,-0.14566545188426971,0.9995812773704529,0.7268254160881042,0.38673120737075806,-0.5771074295043945,0.9999828338623047,0.6498103737831116,0.39208412170410156,0.2873861789703369,0.9996376037597656,0.6812968850135803,0.5265573859214783,-0.6441614031791687,0.9987548589706421,0.5867058038711548,0.5081671476364136,0.5204383134841919,0.3998749256134033,0.5067569017410278,0.6137943267822266,-0.6043997406959534,0.9985112547874451,0.4305788278579712,0.5444663166999817,0.4213668704032898,0.6405770778656006,0.4602925777435303,0.6368815302848816,-0.6685572266578674,0.9967018961906433,0.3772030472755432,0.5581163167953491,0.4154791235923767,0.58718341588974,0.44346970319747925,0.6263517141342163,-0.6587405800819397,0.9966580867767334,0.37494784593582153,0.5524542331695557,0.34431058168411255,0.6092337965965271,0.4614297151565552,0.616341769695282,-0.5896778702735901,0.9934160709381104,0.3916085660457611,0.5501884818077087,0.3834734559059143,0.6175674200057983,0.7195029854774475,0.6293764710426331,-0.23345012962818146,0.9995574355125427,0.6652639508247375,0.6251245141029358,0.2328844517469406,0.9994221925735474,0.7110880017280579,0.7796102166175842,-0.13325516879558563,0.9778599739074707,0.5386909246444702,0.7668529748916626,0.3309973180294037,0.6907323598861694,0.9254153966903687,0.8796919584274292,0.1424454152584076,0.9768416285514832,0.5346437096595764,0.9135974645614624,0.5375522971153259,0.7989121079444885,0.977463960647583,0.8857178092002869,0.17084452509880066,0.9056606292724609,0.547091543674469,0.942372739315033,0.5507330894470215,0.7726026177406311,0.894153356552124,0.9560813307762146,0.05797962844371796,0.9748355150222778,0.41157427430152893,0.9349266290664673,0.45416972041130066,0.8225502967834473
2,0.5636957883834839,0.32060346007347107,-0.21191096305847168,0.9997406005859375,0.5750642418861389,0.30372142791748047,-0.26154083013534546,0.9995279312133789,0.5821821689605713,0.302827924489975,-0.2616165280342102,0.9995239973068237,0.5897574424743652,0.30160287022590637,-0.2615746557712555,0.9996388554573059,0.5659559965133667,0.305012583732605,-0.1873149275779724,0.9994049668312073,0.5658764839172363,0.3050764203071594,-0.1874089241027832,0.9992480874061584,0.5661605000495911,0.3049372732639313,-0.18757444620132446,0.9994087219238281,0.6348486542701721,0.30098164081573486,-0.3669942319393158,0.999679684638977,0.6112622022628784,0.3039236068725586,-0.03229232504963875,0.9988294839859009,0.5890650749206543,0.3343563973903656,-0.2403755933046341,0.9998239278793335,0.5760620832443237,0.33526310324668884,-0.14334489405155182,0.9994463920593262,0.7200717329978943,0.386133074760437,-0.5427907109260559,0.9999827146530151,0.6462042331695557,0.39276760816574097,0.2663213312625885,0.9996024370193481,0.6696459054946899,0.5266551375389099,-0.6165968775749207,0.998594343662262,0.5837924480438232,0.5079538226127625,0.5241934061050415,0.379666268825531,0.5067335963249207,0.6136777997016907,-0.5999171137809753,0.9983460307121277,0.4305827021598816,0.5447525382041931,0.5025953650474548,0.6249827146530151,0.4601060748100281,0.6377589702606201,-0.6607963442802429,0.9964127540588379,0.3774309456348419,0.5576249957084656,0.5091310739517212,0.5763209462165833,0.44346919655799866,0.6277014017105103,-0.6574978828430176,0.996408998966217,0.3752257525920868,0.5532814264297485,0.44399866461753845,0.5981602072715759,0.46004441380500793,0.6177075505256653,-0.5881209373474121,0.9930779933929443,0.39325177669525146,0.5508111119270325,0.470225989818573,0.6066136360168457,0.7036658525466919,0.6294587850570679,-0.23036807775497437,0.9995662569999695,0.6566447019577026,0.6251032948493958,0.2298126071691513,0.9994255900382996,0.6961475610733032,0.780363142490387,-0.09809446334838867,0.9745316505432129,0.5619332194328308,0.7667672038078308,0.3509092330932617,0.6806424856185913,0.9162281155586243,0.8787724375724792,0.16817063093185425,0.9752717614173889,0.548188328742981,0.9137815833091736,0.6014655232429504,0.7895305156707764,0.9729925990104675,0.8791244029998779,0.19459772109985352,0.9044673442840576,0.5587095618247986,0.9445304870605469,0.6208330392837524,0.7640524506568909,0.8885291814804077,0.9559105634689331,0.07358628511428833,0.9736742377281189,0.41422906517982483,0.934840738773346,0.5325480103492737,0.8188654184341431
3,0.5628736019134521,0.31797558069229126,-0.1563723236322403,0.9997003674507141,0.5743237733840942,0.30091050267219543,-0.20567551255226135,0.9994609355926514,0.5812651515007019,0.2999071478843689,-0.20576773583889008,0.9994598031044006,0.5886222124099731,0.29855889081954956,-0.20573794841766357,0.9995925426483154,0.5655912756919861,0.30261552333831787,-0.13274064660072327,0.9992802739143372,0.565642774105072,0.30281341075897217,-0.1328059583902359,0.9990683197975159,0.5660737156867981,0.302830308675766,-0.13297218084335327,0.9992619752883911,0.6334061622619629,0.2988132834434509,-0.3175038993358612,0.9996200203895569,0.6106612086296082,0.3024887144565582,0.008144920691847801,0.9985301494598389,0.5889189839363098,0.3327825665473938,-0.18683597445487976,0.9997902512550354,0.5759952068328857,0.33446168899536133,-0.09211702644824982,0.999305248260498,0.7188645005226135,0.38589030504226685,-0.49999043345451355,0.9999825358390808,0.6450120210647583,0.3928673565387726,0.282647967338562,0.9995830655097961,0.6638627648353577,0.526538074016571,-0.5774616003036499,0.9983535408973694,0.5764575600624084,0.5069400072097778,0.5519575476646423,0.3637745976448059,0.5048123598098755,0.6137693524360657,-0.5579519867897034,0.9981334805488586,0.42178598046302795,0.5436988472938538,0.5484951734542847,0.6128058433532715,0.4577499032020569,0.6385695934295654,-0.6151134371757507,0.9960839748382568,0.36900314688682556,0.5551062226295471,0.561167299747467,0.5688116550445557,0.44116416573524475,0.628700315952301,-0.6115497350692749,0.9961069226264954,0.36755552887916565,0.5530574321746826,0.49184006452560425,0.5903028249740601,0.45369771122932434,0.6189339756965637,-0.5463553667068481,0.992672324180603,0.38753989338874817,0.5507609844207764,0.5150173902511597,0.5992932319641113,0.6930552124977112,0.6305369734764099,-0.23017115890979767,0.9995878338813782,0.6479077935218811,0.625417947769165,0.22962026298046112,0.9994505643844604,0.6432902216911316,0.777979850769043,-0.13758032023906708,0.9687402248382568,0.5915958881378174,0.7666364312171936,0.3484233319759369,0.6519879698753357,0.8787882328033447,0.8748322129249573,0.07469967752695084,0.9721331000328064,0.5723991990089417,0.9147965908050537,0.5921880602836609,0.7671599388122559,0.9434724450111389,0.8733673691749573,0.09907817840576172,0.9053667187690735,0.589433491230011,0.9455808401107788,0.6072975993156433,0.7513571381568909,0.8475844860076904,0.9544628262519836,0.015400783158838749,0.9719818234443665,0.4380568265914917,0.9360828399658203,0.5094812512397766,0.8074111938476562
4,0.5626099109649658,0.3175029754638672,-0.13598887622356415,0.999679446220398,0.5735983848571777,0.3003620207309723,-0.1839725822210312,0.9994282126426697,0.580467700958252,0.29930391907691956,-0.18409042060375214,0.9994262456893921,0.587709367275238,0.2978704571723938,-0.18410390615463257,0.9995704889297485,0.564594566822052,0.30224114656448364,-0.11030744761228561,0.9992207884788513,0.5644221901893616,0.30250799655914307,-0.1103411391377449,0.998966634273529,0.5646896362304688,0.30262091755867004,-0.11047641932964325,0.9991807341575623,0.6317881345748901,0.29769426584243774,-0.28824880719184875,0.9995971322059631,0.6069453954696655,0.30229315161705017,0.04190283268690109,0.998376190662384,0.588924765586853,0.3321027159690857,-0.16361376643180847,0.9997670650482178,0.5759487152099609,0.3342137038707733,-0.06759650260210037,0.9992089867591858,0.7183460593223572,0.3825526833534241,-0.4791249930858612,0.9999831318855286,0.6432091593742371,0.39246559143066406,0.3280841112136841,0.9995866417884827,0.6646304726600647,0.5229032635688782,-0.5708111524581909,0.998196005821228,0.5703299641609192,0.5041199326515198,0.5878163576126099,0.3477289080619812,0.5067433714866638,0.6133012175559998,-0.552131175994873,0.9979152679443359,0.41020089387893677,0.5428176522254944,0.5759754776954651,0.6004443168640137,0.4595786929130554,0.6385466456413269,-0.6131280064582825,0.9957172870635986,0.3588911294937134,0.5535167455673218,0.5928379893302917,0.5606383085250854,0.44144436717033386,0.6286864876747131,-0.6056420803070068,0.9957561492919922,0.35843396186828613,0.5529788136482239,0.5171739459037781,0.5816611647605896,0.4539545476436615,0.6191973090171814,-0.5392707586288452,0.9921696186065674,0.3791513741016388,0.550757646560669,0.5401597023010254,0.5916844606399536,0.692899227142334,0.6274246573448181,-0.23767367005348206,0.9996129870414734,0.6413323879241943,0.6220066547393799,0.2371865063905716,0.999483048915863,0.5923181176185608,0.7727355360984802,-0.22571252286434174,0.9637088179588318,0.5913726687431335,0.7635908126831055,0.34955233335494995,0.6128638386726379,0.832750141620636,0.8739252090454102,-0.025722689926624298,0.9686728715896606,0.6024636626243591,0.9143713116645813,0.5609356164932251,0.7376769185066223,0.9014418125152588,0.8718799352645874,0.0006058470462448895,0.9068014621734619,0.6297740340232849,0.9458218812942505,0.5724426507949829,0.7366439700126648,0.7946374416351318,0.9543893933296204,-0.04731985926628113,0.9699846506118774,0.45954129099845886,0.9390674233436584,0.5032378435134888,0.7884317636489868
5,0.5626237988471985,0.31750965118408203,-0.12736661732196808,0.9996535778045654,0.5735486745834351,0.3003618121147156,-0.16992557048797607,0.9993981122970581,0.5804845690727234,0.29929888248443604,-0.17008137702941895,0.9994046092033386,0.5877721309661865,0.2978692948818207,-0.17013005912303925,0.9995548129081726,0.5641089081764221,0.3022862672805786,-0.09946542978286743,0.9991624355316162,0.5636287927627563,0.302558958530426,-0.09947309643030167,0.9988771677017212,0.5635333061218262,0.3026552200317383,-0.09961720556020737,0.999089241027832,0.6319369673728943,0.29732316732406616,-0.2520463764667511,0.9995828866958618,0.6039861440658569,0.30230268836021423,0.06078939884901047,0.9982441663742065,0.5894613862037659,0.33172085881233215,-0.1466696858406067,0.9997414946556091,0.5760447382926941,0.334121435880661,-0.05535177141427994,0.9990898370742798,0.7185042500495911,0.38035303354263306,-0.4436379373073578,0.9999837279319763,0.6369537711143494,0.39189836382865906,0.34739336371421814,0.999563992023468,0.6649833917617798,0.5212956070899963,-0.5173355340957642,0.9980146288871765,0.561856746673584,0.5034835934638977,0.5970984697341919,0.3400533199310303,0.506740152835846,0.612690806388855,-0.5014479160308838,0.9977548122406006,0.39691582322120667,0.5427806377410889,0.5689719319343567,0.5978685617446899,0.4610767066478729,0.6385059356689453,-0.5603601932525635,0.9954411387443542,0.3450600802898407,0.5531147122383118,0.5824416279792786,0.5606589913368225,0.44154655933380127,0.6286734342575073,-0.5583193302154541,0.9954781532287598,0.3480711877346039,0.55263751745224,0.5115033388137817,0.5813300609588623,0.4536614418029785,0.6191698312759399,-0.49019119143486023,0.9918062686920166,0.3674488663673401,0.5507404208183289,0.5339952707290649,0.5915160179138184,0.6890377402305603,0.6223410367965698,-0.236747145652771,0.999614417552948,0.631650447845459,0.6168006658554077,0.23630574345588684,0.9994646906852722,0.6113587021827698,0.7728678584098816,-0.1969045251607895,0.9441897869110107,0.5903314352035522,0.7615858912467957,0.33978015184402466,0.5677971243858337,0.76702481508255,0.8873741030693054,0.017372487112879753,0.9468590617179871,0.625873863697052,0.9143566489219666,0.5362623929977417,0.6841270327568054,0.8439165353775024,0.8922958970069885,0.039158307015895844,0.8924735188484192,0.6526774168014526,0.9477025866508484,0.5502431392669678,0.6957096457481384,0.7171429991722107,0.957179605960846,-0.04810236766934395,0.9538944959640503,0.48925745487213135,0.9408146739006042,0.47947508096694946,0.7444518208503723
6,0.5623418092727661,0.3173953890800476,-0.11996332556009293,0.9996593594551086,0.5727110505104065,0.2999553084373474,-0.15877333283424377,0.9994122982025146,0.5798216462135315,0.2988288998603821,-0.1588689237833023,0.9994263052940369,0.5872296690940857,0.2973390817642212,-0.1589278280735016,0.9995701313018799,0.5622336864471436,0.3020915389060974,-0.09102851897478104,0.9991746544837952,0.5612624287605286,0.3024426996707916,-0.0909658744931221,0.998898983001709,0.5607450604438782,0.30260923504829407,-0.09106871485710144,0.9991041421890259,0.6315717101097107,0.29632410407066345,-0.2295493334531784,0.9996006488800049,0.6020301580429077,0.3022123873233795,0.07455337792634964,0.9983162879943848,0.5895947217941284,0.3315480351448059,-0.13716083765029907,0.9997438788414001,0.5760416388511658,0.3340940475463867,-0.04852583631873131,0.999090850353241,0.7220953106880188,0.3769669234752655,-0.4151467978954315,0.9999848008155823,0.6343763470649719,0.3908471167087555,0.34867656230926514,0.9995735287666321,0.6649583578109741,0.5187617540359497,-0.4834955334663391,0.9978638887405396,0.5586238503456116,0.5004994869232178,0.5915038585662842,0.34161144495010376,0.5096365809440613,0.6122196316719055,-0.4567061960697174,0.9972858428955078,0.3852100074291229,0.542039692401886,0.49602144956588745,0.5967836380004883,0.46786513924598694,0.6384897232055664,-0.5125117897987366,0.9945873022079468,0.33238860964775085,0.5519696474075317,0.4902067184448242,0.5611562132835388,0.4441428780555725,0.6289247870445251,-0.5174681544303894,0.9946216940879822,0.3331143856048584,0.5518681406974792,0.4174567461013794,0.5816065669059753,0.4541547894477844,0.6196292638778687,-0.4492335915565491,0.9906560778617859,0.35301437973976135,0.5504537224769592,0.4576238691806793,0.5917986631393433,0.6901667714118958,0.6158350110054016,-0.23499317467212677,0.9996298551559448,0.6187393069267273,0.6070797443389893,0.23458440601825714,0.9994648098945618,0.5400334596633911,0.7535013556480408,-0.25399449467658997,0.940429151058197,0.5009135007858276,0.7310675382614136,0.237482488155365,0.5352090001106262,0.7213835120201111,0.8871062397956848,-0.13219155371189117,0.9378960728645325,0.6264330744743347,0.8788872361183167,0.37534886598587036,0.6365230679512024,0.7783758640289307,0.900569498538971,-0.11597035825252533,0.8778446912765503,0.6280763149261475,0.9138165712356567,0.38493093848228455,0.656504213809967,0.6628859043121338,0.9507747292518616,-0.19337452948093414,0.9446955919265747,0.49867382645606995,0.9362366199493408,0.32326069474220276,0.7009975910186768
7,0.5612843632698059,0.3170960545539856,-0.10308597981929779,0.9996589422225952,0.571417510509491,0.299525648355484,-0.14008651673793793,0.999419093132019,0.5789192914962769,0.2983444631099701,-0.14018367230892181,0.9994379281997681,0.5866110920906067,0.29689663648605347,-0.14021331071853638,0.9995789527893066,0.5600180625915527,0.3019021153450012,-0.07196684181690216,0.9991834163665771,0.5587705969810486,0.3023451268672943,-0.07194705307483673,0.9989099502563477,0.5580157041549683,0.30257317423820496,-0.07209205627441406,0.999110996723175,0.6312883496284485,0.2959596812725067,-0.20684361457824707,0.9996086359024048,0.5994016528129578,0.3021833002567291,0.0941600576043129,0.9983775615692139,0.5893995761871338,0.3313245177268982,-0.11845050007104874,0.9997416734695435,0.5752477049827576,0.3339024484157562,-0.030795399099588394,0.9990864396095276,0.7225514054298401,0.3773525655269623,-0.4039471447467804,0.9999849796295166,0.631102979183197,0.3908555209636688,0.37246304750442505,0.9995657205581665,0.6649041771888733,0.5192542672157288,-0.4715886116027832,0.9975900650024414,0.5539179444313049,0.4984043836593628,0.5822923183441162,0.34247955679893494,0.509610116481781,0.6122216582298279,-0.43009817600250244,0.9968274831771851,0.37698179483413696,0.5401644110679626,0.49324342608451843,0.5958088040351868,0.468022882938385,0.6383726000785828,-0.4843393862247467,0.9938109517097473,0.324970543384552,0.5502089262008667,0.48890796303749084,0.5618449449539185,0.4441595673561096,0.6289355754852295,-0.48411333560943604,0.9938207864761353,0.3269391357898712,0.5505241751670837,0.4170643389225006,0.5818568468093872,0.45424386858940125,0.6198499798774719,-0.4199172556400299,0.9895843267440796,0.3466041088104248,0.5493158102035522,0.4552783966064453,0.5921717286109924,0.6916294693946838,0.6173486113548279,-0.23490417003631592,0.9996069669723511,0.6220546960830688,0.6083193421363831,0.23448801040649414,0.9993998408317566,0.5177262425422668,0.752480685710907,-0.2332131564617157,0.9265692830085754,0.5232983231544495,0.7391889691352844,0.23813247680664062,0.49671128392219543,0.6915534138679504,0.9008693695068359,-0.10626271367073059,0.9203454256057739,0.6649942994117737,0.8831036686897278,0.3715817332267761,0.5866683721542358,0.7266953587532043,0.9247283935546875,-0.09186912328004837,0.8684769868850708,0.6939002871513367,0.9220165610313416,0.38087156414985657,0.6182619333267212,0.6038691401481628,0.9513683915138245,-0.17453040182590485,0.9310267567634583,0.5656442642211914,0.9496643543243408,0.3091980218887329,0.6561393737792969
8,0.559795618057251,0.31691017746925354,-0.1610821932554245,0.9996778964996338,0.5698003768920898,0.299328476190567,-0.18636296689510345,0.9994535446166992,0.5776026844978333,0.29809433221817017,-0.1863972693681717,0.9994733929634094,0.5855883955955505,0.2966720163822174,-0.18642228841781616,0.9996053576469421,0.5578362345695496,0.3017979860305786,-0.12766773998737335,0.9992276430130005,0.5564245581626892,0.3022725284099579,-0.1276150792837143,0.9989686012268066,0.5554999113082886,0.3025280237197876,-0.1277690976858139,0.9991533756256104,0.6300548315048218,0.29580390453338623,-0.24752910435199738,0.9996328949928284,0.5955962538719177,0.30218636989593506,0.049108464270830154,0.9984768629074097,0.5885908603668213,0.33120784163475037,-0.15752466022968292,0.9997574090957642,0.5738016963005066,0.33378419280052185,-0.08498293161392212,0.9991400837898254,0.7225731015205383,0.37723368406295776,-0.43275031447410583,0.9999856352806091,0.6275264024734497,0.3912639319896698,0.32681116461753845,0.9995577335357666,0.6735448241233826,0.5183879137039185,-0.4985392093658447,0.9976090788841248,0.5440102815628052,0.49850279092788696,0.5473465919494629,0.3533375859260559,0.5158513188362122,0.6119187474250793,-0.47471728920936584,0.996896505355835,0.3643184304237366,0.5393090844154358,0.4789182245731354,0.6115069389343262,0.4750945568084717,0.6381479501724243,-0.5323923230171204,0.993894636631012,0.3149159252643585,0.5489658117294312,0.4801725447177887,0.5779215693473816,0.4497559368610382,0.6288942098617554,-0.5289966464042664,0.9938811659812927,0.3177339732646942,0.549350380897522,0.40896326303482056,0.5971949100494385,0.4609993100166321,0.6198347806930542,-0.4635724127292633,0.989779531955719,0.3367761969566345,0.5482539534568787,0.44310468435287476,0.6069132089614868,0.6905320882797241,0.6167794466018677,-0.22742588818073273,0.9995948076248169,0.625360906124115,0.6083608269691467,0.2271343469619751,0.9993373155593872,0.5292496085166931,0.756138801574707,-0.22066384553909302,0.9199679493904114,0.586514413356781,0.7544680833816528,0.26371535658836365,0.46885088086128235,0.63900226354599,0.9162205457687378,-0.06371376663446426,0.9111582636833191,0.6761918067932129,0.8962965607643127,0.41457054018974304,0.5557767152786255,0.6704923510551453,0.9372485280036926,-0.05148765817284584,0.8689319491386414,0.6987399458885193,0.9240735769271851,0.42496341466903687,0.6017820239067078,0.5279117226600647,0.960826575756073,-0.1684582382440567,0.9224244356155396,0.5750095844268799,0.9499487280845642,0.338499516248703,0.6323018670082092
9,0.5560199022293091,0.31685274839401245,-0.16852708160877228,0.9996961355209351,0.5659228563308716,0.29937049746513367,-0.19697722792625427,0.999488115310669,0.5733344554901123,0.2981428802013397,-0.19700931012630463,0.9995073080062866,0.5814444422721863,0.2967248857021332,-0.1970173418521881,0.999630868434906,0.5543540120124817,0.3017817735671997,-0.13680239021778107,0.9992727041244507,0.5531888604164124,0.30223512649536133,-0.13674533367156982,0.9990251064300537,0.5525457262992859,0.30247047543525696,-0.1368512660264969,0.9991959929466248,0.6265000104904175,0.2958334684371948,-0.2613748610019684,0.999657928943634,0.5926235318183899,0.3021883964538574,0.0303731057792902,0.9985737204551697,0.5849082469940186,0.3312479853630066,-0.1674719750881195,0.9997725486755371,0.5704590678215027,0.33377864956855774,-0.09386661648750305,0.9991903901100159,0.7214065790176392,0.37744417786598206,-0.44607576727867126,0.9999862909317017,0.6265777349472046,0.39137813448905945,0.311174601316452,0.9995529055595398,0.6774352192878723,0.5187036991119385,-0.5100281238555908,0.9976118206977844,0.5385706424713135,0.4982547461986542,0.5184726119041443,0.3656419515609741,0.5182472467422485,0.6124005913734436,-0.4888249635696411,0.996957004070282,0.35743996500968933,0.5361730456352234,0.4328513741493225,0.6254720687866211,0.47812947630882263,0.6386181712150574,-0.5441716313362122,0.9939650893211365,0.3052244782447815,0.5459895730018616,0.4349297881126404,0.5913533568382263,0.4539726972579956,0.6295235753059387,-0.5384478569030762,0.9939290285110474,0.3056141138076782,0.5450865030288696,0.3604910671710968,0.609793484210968,0.46536728739738464,0.620800793170929,-0.4769043028354645,0.9899286031723022,0.32469072937965393,0.5442022085189819,0.3956449329853058,0.6192191243171692,0.6902496218681335,0.6167333722114563,-0.22319750487804413,0.9995883107185364,0.6265898942947388,0.6086459755897522,0.2229672074317932,0.9992936849594116,0.5207615494728088,0.7569009065628052,-0.1691499799489975,0.8983612060546875,0.600757896900177,0.7606648206710815,0.2734813392162323,0.43856504559516907,0.5767251253128052,0.92425137758255,-0.0540371909737587,0.8898482322692871,0.6550008058547974,0.9103032350540161,0.43865105509757996,0.5207717418670654,0.6014189720153809,0.9451926946640015,-0.033438410609960556,0.8639861941337585,0.6861454844474792,0.9323580861091614,0.45019569993019104,0.5826418995857239,0.45920807123184204,0.960549533367157,-0.14542844891548157,0.9035611748695374,0.5563454031944275,0.9534562230110168,0.3623028099536896,0.599455714225769
10,0.5518563985824585,0.31686756014823914,-0.08977857977151871,0.9997246861457825,0.5624407529830933,0.29940706491470337,-0.13147324323654175,0.9995366334915161,0.5697339773178101,0.29818597435951233,-0.13153576850891113,0.9995540976524353,0.577922523021698,0.2967664897441864,-0.13151191174983978,0.9996659755706787,0.551303505897522,0.30176079273223877,-0.05576281622052193,0.9993413686752319,0.5504287481307983,0.3021949827671051,-0.055703677237033844,0.9991168975830078,0.5500766634941101,0.30241087079048157,-0.05574924871325493,0.9992715120315552,0.6238102316856384,0.2960295081138611,-0.22897543013095856,0.999690592288971,0.5918480157852173,0.302226185798645,0.10542953014373779,0.9987097382545471,0.580136239528656,0.3316821753978729,-0.11461394280195236,0.9997941851615906,0.5663226842880249,0.33393606543540955,-0.018513159826397896,0.9992671608924866,0.7210876941680908,0.38103213906288147,-0.41986048221588135,0.9999873638153076,0.6252083778381348,0.3939834535121918,0.38179922103881836,0.9995775818824768,0.6846742033958435,0.5208967328071594,-0.4860609173774719,0.9976360201835632,0.5374162197113037,0.4981613755226135,0.5612756609916687,0.38234615325927734,0.5201641321182251,0.6143833994865417,-0.481105774641037,0.9969975352287292,0.3556922376155853,0.5357977747917175,0.44577181339263916,0.6370847225189209,0.4800070524215698,0.6404610872268677,-0.5475319623947144,0.9940187931060791,0.29951611161231995,0.5452903509140015,0.44742292165756226,0.6012431979179382,0.4567475914955139,0.6307116746902466,-0.5459805130958557,0.9939594268798828,0.2999249994754791,0.5439379215240479,0.3727593719959259,0.6192510724067688,0.4681226313114166,0.6223452091217041,-0.4713079035282135,0.9900079965591431,0.3208427429199219,0.5432397723197937,0.408879816532135,0.6284630298614502,0.690854549407959,0.6186316013336182,-0.22470304369926453,0.9996148347854614,0.6327410936355591,0.6120625138282776,0.22462230920791626,0.9993202686309814,0.4931395649909973,0.7518224120140076,-0.25832727551460266,0.8946806192398071,0.6198354363441467,0.7720128297805786,0.365962415933609,0.4204716086387634,0.5074853897094727,0.9293767213821411,-0.19461524486541748,0.8895078301429749,0.7280524373054504,0.913536012172699,0.5084580779075623,0.5063813328742981,0.5282487869262695,0.9602779150009155,-0.1904907077550888,0.8671391010284424,0.7645675539970398,0.9385842084884644,0.520236611366272,0.5777859687805176,0.3715277314186096,0.960435688495636,-0.320590078830719,0.9023469686508179,0.5873233675956726,0.9519771337509155,0.44280916452407837,0.5877421498298645
